Chain,RecordTime,Frequency
Chain2,533,12.4968
Chain3,549,6.24956
Chain1,563,12.5
Chain2,600,12.5001
Chain1,643,12.4999
Chain2,693,12.5042
Chain3,709,6.2505
Chain1,723,12.5001
Chain2,760,12.4996
Chain1,803,12.5001
Chain2,853,12.4985
Chain3,869,6.25066
Chain1,883,12.4999
Chain2,920,12.5001
Chain1,963,12.5001
Chain2,1026,11.5707
Chain4,1048,0.0
Chain3,1249,3.70476
Chain1,1268,5.1964
Chain1,1303,5.8892
Chain1,1348,24.8285
Chain2,1390,4.25859
Chain2,1399,5.36081
Chain2,1419,67.0713
Chain1,1429,15.8639
Chain3,1474,3.3022
Chain1,1482,14.9171
Chain2,1524,16.0173
Chain2,1540,16.6412
Chain1,1549,16.6413
Chain3,1599,5.70256
Chain2,1607,23.9028
Chain1,1617,14.9145
Chain2,1665,16.0171
Chain3,1674,10.039
Chain1,1682,15.0521
Chain2,1732,16.0179
Chain1,1748,15.201
Chain3,1783,10.8996
Chain2,1797,15.0519
Chain1,1807,16.0167
Chain2,1857,16.0164
Chain1,1873,16.0161
Chain3,1908,8.54586
Chain2,1916,16.8974
Chain1,1931,16.0166
Chain2,1977,16.6447
Chain3,1993,9.50946
